שוק,קטגוריה,סקטור,טיקר,דמי ניהול,מספר קרן,תיאור
תעודות סל אמריקאיות,עבור מדדים,S&P 500,VOO,0.03%,,עוקב אחר מדד S&P 500 – 500 החברות הגדולות בארה״ב. אחת הקרנות הזולות והפופולריות ביותר בעולם
תעודות סל אמריקאיות,עבור מדדים,"נאסד""ק 100",QQQM,0.15%,,"עוקב אחר מדד נאסד""ק 100 – 100 חברות הטכנולוגיה והצמיחה הגדולות, כולל אפל, מיקרוסופט ונבידיה"
תעודות סל אמריקאיות,עבור מדדים,ראסל 2000,VTWO,0.07%,,"עוקב אחר מדד ראסל 2000 – כ-2,000 חברות קטנות אמריקאיות, חשיפה לצמיחה מקומית"
תעודות סל אמריקאיות,עבור מדדים,דאו ג'ונס,DIA,0.16%,,עוקב אחר מדד דאו ג'ונס התעשייתי – 30 חברות אמריקאיות מובילות ומגוונות
תעודות סל אמריקאיות,עבור מדדים,"צמיחה גדולות ארה""ב",SCHG,0.04%,,"מתמקד בחברות צמיחה גדולות בארה""ב – מדד ה-Dow Jones Large Cap Growth"
תעודות סל אמריקאיות,עבור מדדים,שוק המניות הכולל,VTI,0.03%,,"עוקב אחר שוק המניות האמריקאי כולו – מעל 3,500 חברות, מהגדולות ועד הקטנות"
תעודות סל אמריקאיות,עבור מדדים,S&P 500 משקל שווה,RSP,0.20%,,"עוקב אחר S&P 500 כאשר כל אחת מ-500 המניות מקבלת משקל זהה, ללא שליטת ענקיות"
תעודות סל אמריקאיות,עבור מדדים,ראסל 1000 ערך,VONV,0.08%,,"מתמקד במניות ערך גדולות בארה""ב מתוך מדד ראסל 1000 – חברות יציבות הנסחרות בהנחה"
תעודות סל אמריקאיות,עבור מדדים,"דיבידנד ארה""ב",VIG,0.05%,,מתמקד בחברות אמריקאיות שמגדילות את הדיבידנד שלהן שנה אחר שנה – יציבות ואיכות גבוהה
תעודות סל אמריקאיות,עבור מדדים,S&P 500 צמיחה,VOOG,0.10%,,מתמקד בחברות הצמיחה מתוך מדד S&P 500 – חברות עם הכנסות ורווחים צומחים
תעודות סל אמריקאיות,עבור מדדים,S&P 500 ערך,VOOV,0.10%,,מתמקד בחברות הערך מתוך מדד S&P 500 – חברות יציבות הנסחרות מתחת לשוויין הכלכלי
תעודות סל אמריקאיות,עבור מדדים,S&P Mid-Cap 400,IJH,0.05%,,עוקב אחר מדד S&P Mid-Cap 400 – חברות בינוניות אמריקאיות עם פוטנציאל צמיחה
תעודות סל אמריקאיות,עבור מדדים,S&P Mid-Cap 400 צמיחה,IJK,0.17%,,מתמקד בחברות בינוניות עם מאפייני צמיחה מתוך מדד S&P Mid-Cap 400
תעודות סל אמריקאיות,עבור מדדים,S&P Mid-Cap 400 ערך,IJJ,0.18%,,מתמקד בחברות בינוניות עם מאפייני ערך מתוך מדד S&P Mid-Cap 400
תעודות סל אמריקאיות,עבור מדדים,ראסל 2000 צמיחה,IWO,0.24%,,מתמקד בחברות קטנות בעלות קצב צמיחה מהיר מתוך מדד ראסל 2000
תעודות סל אמריקאיות,עבור מדדים,ראסל 2000 ערך,IWN,0.24%,,מתמקד בחברות קטנות הנסחרות מתחת לשוויין הכלכלי מתוך מדד ראסל 2000
תעודות סל אמריקאיות,עבור מדדים,S&P Small-Cap 600 צמיחה,IJT,0.18%,,מתמקד בחברות קטנות מאוד עם מאפייני צמיחה מתוך מדד S&P Small-Cap 600
תעודות סל אמריקאיות,עבור מדדים,S&P Small-Cap 600 ערך,IJS,0.18%,,מתמקד בחברות קטנות מאוד עם מאפייני ערך מתוך מדד S&P Small-Cap 600
תעודות סל אמריקאיות,עבור מדדים,ראסל 3000,IWV,0.20%,,"עוקב אחר מדד ראסל 3000 – כ-3,000 החברות הגדולות בארה""ב, כ-98% משוק המניות האמריקאי"
תעודות סל אמריקאיות,עבור מדדים,ראסל 1000,IWB,0.15%,,"עוקב אחר ראסל 1000 – 1,000 החברות הגדולות בארה""ב, חשיפה רחבה לשוק הגדול"
תעודות סל אמריקאיות,עבור סקטורים,פיננסים,XLF,0.08%,,"סקטור הפיננסים – בנקים גדולים, חברות ביטוח ושירותים פיננסיים בארה""ב"
תעודות סל אמריקאיות,עבור סקטורים,צרכנות דיסקרציונרית,XLY,0.08%,,"סקטור הצרכנות הדיסקרציונרית – קמעונות, בידור, רכב ומסעדות"
